"Story","Title","Result","Date","Stability","Duration (s)"
"02 - Alterar senha de um usuario","Para alterar a senha de um usuario","SUCCESS","2018-02-26T14:20:21.177-03:00","0.0","23.05"
"04 - Colocar no carrinho produto da cor Verde","Para colocar os produtos da cor verde","SUCCESS","2018-02-26T14:21:02.021-03:00","0.0","14.55"
"08 - Entre todos os produtos, ordenar por preço crescente e clicar no mais barato","Para comprar o produto mais barato","SUCCESS","2018-02-26T14:21:54.761-03:00","0.0","13.74"
"10 - Enviar uma mensagem pelo Fale Conosco","Para enviar uma mensagem pela pagina de Fale Conosco","SUCCESS","2018-02-26T14:22:24.302-03:00","0.0","13.62"
"07 -  Filtrar produtos por preco e depois retirar todos os filtros","Para executar o filtro","SUCCESS","2018-02-26T14:21:42.913-03:00","0.0","11.49"
"09 - Selecionar seis camisetas","Para poder selecionar seis camisetas","SUCCESS","2018-02-26T14:22:08.882-03:00","0.0","14.96"
"03 - Compar Produto Printed Chiffon Dress","Para realiza a compra","SUCCESS","2018-02-26T14:20:44.597-03:00","0.0","17.08"
"05 - Colocar produto de tamanho L e Estilo Vistoso no carrinho","Para realizar a comprar","SUCCESS","2018-02-26T14:21:17.025-03:00","0.0","14.47"
"06 -  Filtrar por tamanho e composicao e depois retirar o filtro de tamanho","Para realizar a tarefa","SUCCESS","2018-02-26T14:21:32.100-03:00","0.0","10.36"
"01 - Realizar um novo cadastro","Para realizar o cadastro","SUCCESS","2018-02-26T14:19:53.382-03:00","0.0","24.39"
